id_interview,id_node,is_ego,is_polish,department,scidegree,female
34,5,0,1,4,dr,1
34,6,0,1,NA,NA,NA
34,7,0,1,NA,NA,NA
34,8,0,1,NA,NA,NA
34,9,0,0,NA,dr,1
34,10,0,1,NA,NA,NA
35,0,1,1,1,drhab,0
35,1,0,1,1,dr,1
35,2,0,1,1,dr,0
35,3,0,1,2,drhab,0
35,4,0,1,3,dr,0
35,5,0,1,4,drhab,1
35,6,0,1,5,drhab,0
36,0,1,1,1,drhab,0
36,1,0,1,2,drhab,0
36,2,0,1,2,prof,0
36,3,0,1,NA,dr,0
36,4,0,1,NA,dr,0
36,5,0,1,1,prof,0
36,6,0,1,NA,prof,1
36,7,0,1,1,prof,1
36,8,0,1,1,prof,0
36,9,0,1,NA,NA,NA
37,0,1,1,1,dr,1
37,1,0,1,NA,dr,0
37,2,0,1,NA,drhab,1
37,3,0,1,NA,dr,1
37,4,0,1,1,dr,1
37,5,0,0,NA,dr,0
37,6,0,1,2,dr,0
37,7,0,1,1,drhab,0
38,0,1,1,1,prof,0
38,1,0,0,NA,prof,0
38,2,0,0,NA,dr,0
38,3,0,0,NA,dr,0
38,4,0,0,NA,prof,0
38,5,0,0,NA,prof,0
38,6,0,0,NA,dr,0
38,7,0,0,NA,prof,0
38,8,0,0,NA,dr,1
38,9,0,0,NA,dr,0
38,10,0,0,NA,drhab,0
38,11,0,0,NA,drhab,0
38,12,0,0,NA,prof,0
38,13,0,1,1,mgr,0
38,14,0,1,1,drhab,0
38,15,0,0,NA,dr,1
39,0,1,1,1,prof,0
39,1,0,0,NA,prof,0
39,2,0,1,NA,prof,0
39,3,0,1,NA,prof,0
39,4,0,0,NA,prof,0
39,5,0,1,NA,prof,0
39,6,0,0,NA,dr,0
39,7,0,0,NA,dr,0
39,8,0,0,NA,drhab,1
39,9,0,1,1,dr,0
40,0,1,1,1,mgr,0
40,1,0,1,1,mgr,0
40,2,0,1,NA,mgr,0
40,3,0,1,1,drhab,1
40,4,0,1,NA,dr,0
40,5,0,0,NA,drhab,0
40,6,0,1,1,prof,0
40,7,0,1,2,dr,0
